日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,出来高,5日平均,25日平均
2022/5/27,"26,947.80","26,996.70","26,731.60","26,781.68","26,762.79","26,686.36","26,800.98","69,312","67,726.40","76,355.04"
2022/5/26,"26,685.02","26,898.75","26,597.97","26,604.84","26,754.26","26,687.08","26,811.01","64,512","69,132.00","75,516.52"
2022/5/25,"26,711.53","26,795.89","26,578.03","26,677.80","26,713.86","26,706.61","26,817.32","72,340","71,130.40","74,997.88"
2022/5/24,"27,005.43","27,005.43","26,736.01","26,748.14","26,760.54","26,726.38","26,821.65","67,441","71,596.60","74,577.92"
2022/5/23,"26,991.42","27,047.47","26,832.65","27,001.52","26,742.86","26,730.20","26,821.24","65,027","73,894.00","74,745.44"
2022/5/20,"26,448.23","26,769.20","26,426.99","26,739.03","26,651.97","26,703.53","26,810.15","76,340","78,286.00","75,157.04"
2022/5/19,"26,435.32","26,458.85","26,150.09","26,402.84","26,589.69","26,706.83","26,813.78","74,504","83,779.60","75,041.48"
2022/5/18,"26,826.82","27,053.18","26,741.34","26,911.20","26,458.87","26,730.15","26,823.50","74,671","87,112.40","75,183.88"
2022/5/17,"26,555.23","26,709.26","26,440.62","26,659.75","26,319.36","26,729.25","26,832.53","78,928","89,351.00","75,042.20"
2022/5/16,"26,753.37","26,836.96","26,438.61","26,547.05","26,220.83","26,756.87","26,844.03","86,987","89,717.80","74,631.16"
2022/5/13,"25,918.80","26,479.93","25,904.40","26,427.65","26,175.29","26,806.51","26,860.37","103,808","88,226.60","73,723.64"
2022/5/12,"25,945.04","26,028.36","25,688.11","25,748.72","26,290.47","26,858.86","26,874.23","91,168","87,164.60","71,585.12"
2022/5/11,"26,045.38","26,290.62","26,003.26","26,213.64","26,504.43","26,935.55","26,907.68","85,864","83,836.00","70,608.52"
2022/5/10,"26,149.06","26,246.63","25,773.83","26,167.10","26,631.28","26,999.86","26,935.94","80,762","84,003.80","70,319.64"
2022/5/9,"26,705.32","26,732.61","26,309.22","26,319.34","26,675.19","27,074.27","26,962.04","79,531","87,311.40","70,427.08"
2022/5/6,"26,784.29","27,072.59","26,543.29","27,003.56","26,751.34","27,151.59","26,990.97","98,498","84,270.60","70,353.84"
2022/5/2,"26,851.10","26,964.59","26,610.86","26,818.53","26,668.79","27,189.20","27,014.47","74,525","77,107.20","69,025.88"
2022/4/28,"26,430.28","26,876.95","26,348.36","26,847.90","26,726.13","27,242.46","27,033.18","86,703","73,895.20","68,740.96"
2022/4/27,"26,313.14","26,406.62","26,051.04","26,386.63","26,867.16","27,292.95","27,054.93","97,300","69,022.60","68,137.00"
2022/4/26,"26,743.21","26,808.99","26,592.99","26,700.11","27,033.41","27,359.10","27,082.94","64,327","64,029.80","67,773.00"
2022/4/25,"26,692.48","26,764.48","26,487.84","26,590.78","27,090.40","27,380.06","27,118.04","62,681","63,265.60","69,119.32"
2022/4/22,"27,197.80","27,205.83","26,904.38","27,105.26","27,132.19","27,389.52","27,154.18","58,465","60,399.20","70,939.36"
2022/4/21,"27,259.14","27,580.64","27,252.83","27,553.06","27,129.78","27,371.43","27,176.67","62,340","59,015.40","72,186.40"
2022/4/20,"27,210.79","27,389.84","27,066.18","27,217.85","27,053.56","27,299.79","27,194.72","72,336","58,915.60","72,986.48"
2022/4/19,"27,096.49","27,100.59","26,777.71","26,985.09","26,978.69","27,224.93","27,219.41","60,506","58,774.20","73,021.12"
2022/4/18,"26,831.45","26,851.80","26,571.38","26,799.71","26,848.67","27,157.84","27,241.96","48,349","61,736.40","73,504.16"
2022/4/15,"26,932.48","27,203.77","26,784.92","27,093.19","26,853.03","27,092.36","27,268.40","51,546","66,756.80","75,154.00"
2022/4/14,"26,925.64","27,200.89","26,890.68","27,172.00","26,831.55","27,036.25","27,291.13","61,841","72,060.40","76,901.32"
2022/4/13,"26,436.06","26,885.87","26,429.47","26,843.49","26,774.87","26,938.07","27,309.67","71,629","73,918.00","78,088.68"
2022/4/12,"26,606.87","26,674.86","26,304.08","26,334.98","26,876.23","26,855.97","27,331.99","75,317","73,322.60","79,813.20"
2022/4/11,"26,877.60","27,004.50","26,720.46","26,821.52","27,166.83","26,811.43","27,353.36","73,451","71,119.00","81,015.56"
2022/4/8,"27,097.05","27,185.23","26,764.36","26,985.80","27,349.82","26,777.99","27,376.35","78,064","66,497.80","81,818.68"
